"city","city_ascii","state_id","state_name","county_fips","county_name","county_fips_all","county_name_all","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"Roslyn","Roslyn","WA","Washington","53037","Kittitas","53037","Kittitas","47.2507","-121.0989","947","84","polygon","FALSE","TRUE","America/Los_Angeles","3","98941 98068 98925","1840019842"
"Gig Harbor","Gig Harbor","WA","Washington","53053","Pierce","53053","Pierce","47.3352","-122.5968","9507","622","polygon","FALSE","TRUE","America/Los_Angeles","3","98332 98335","1840019855"
"Tenino","Tenino","WA","Washington","53067","Thurston","53067","Thurston","46.8537","-122.8607","1830","491","polygon","FALSE","TRUE","America/Los_Angeles","3","98589","1840021144"
"Three Lakes","Three Lakes","WA","Washington","53061","Snohomish","53061","Snohomish","47.9420","-121.9924","3390","112","polygon","FALSE","FALSE","America/Los_Angeles","3","98290","1840018375"
"Chain Lake","Chain Lake","WA","Washington","53061","Snohomish","53061","Snohomish","47.9038","-121.9861","4280","156","polygon","FALSE","TRUE","America/Los_Angeles","3","98290","1840041915"
"Rosburg","Rosburg","WA","Washington","53069","Wahkiakum","53069","Wahkiakum","46.3076","-123.6344","385","6","polygon","FALSE","FALSE","America/Los_Angeles","3","98643","1840023878"
"Birch Bay","Birch Bay","WA","Washington","53073","Whatcom","53073","Whatcom","48.9230","-122.7543","8642","208","polygon","FALSE","FALSE","America/Los_Angeles","3","98230","1840017289"
"Navy Yard City","Navy Yard City","WA","Washington","53035","Kitsap","53035","Kitsap","47.5508","-122.6655","3154","1978","polygon","FALSE","FALSE","America/Los_Angeles","3","98312","1840018407"
"Farmington","Farmington","WA","Washington","53075","Whitman","53075","Whitman","47.0887","-117.0464","154","164","polygon","FALSE","TRUE","America/Los_Angeles","3","99128","1840021140"
"Cathcart","Cathcart","WA","Washington","53061","Snohomish","53061","Snohomish","47.8525","-122.1058","2506","250","polygon","FALSE","FALSE","America/Los_Angeles","3","98296","1840017324"
"Anacortes","Anacortes","WA","Washington","53057","Skagit","53057","Skagit","48.4878","-122.6292","17955.0","559","polygon","FALSE","TRUE","America/Los_Angeles","3","98221","1840018366"
"Creston","Creston","WA","Washington","53043","Lincoln","53043","Lincoln","47.7595","-118.5200","226","212","polygon","FALSE","TRUE","America/Los_Angeles","3","99117","1840021109"
"Wishram","Wishram","WA","Washington","53039","Klickitat","53039","Klickitat","45.6599","-120.9698","438","131","polygon","FALSE","FALSE","America/Los_Angeles","3","98673","1840018528"
"South Hill","South Hill","WA","Washington","53053","Pierce","53053","Pierce","47.1203","-122.2848","56379","1185","polygon","FALSE","FALSE","America/Los_Angeles","3","98375 98374 98373","1840037886"
"Erlands Point-Kitsap Lake","Erlands Point-Kitsap Lake","WA","Washington","53035","Kitsap","53035","Kitsap","47.5973","-122.7021","2973","655","polygon","FALSE","TRUE","America/Los_Angeles","3","98312","1840073915"
"St. John","St. John","WA","Washington","53075","Whitman","53075","Whitman","47.0915","-117.5887","561","322","polygon","FALSE","TRUE","America/Los_Angeles","3","99171","1840021139"
"Ketron Island","Ketron Island","WA","Washington","53053","Pierce","53053","Pierce","47.1569","-122.6343","0","0","polygon","FALSE","TRUE","America/Los_Angeles","3","98388","1840037558"
"Fife","Fife","WA","Washington","53053","Pierce","53053","Pierce","47.2328","-122.3518","10154","684","polygon","FALSE","TRUE","America/Los_Angeles","3","98424","1840019853"
"Chewelah","Chewelah","WA","Washington","53065","Stevens","53065","Stevens","48.2929","-117.7336","2637","341","polygon","FALSE","TRUE","America/Los_Angeles","3","99109","1840018360"
"Kittitas","Kittitas","WA","Washington","53037","Kittitas","53037","Kittitas","46.9837","-120.4191","1491","729","polygon","FALSE","TRUE","America/Los_Angeles","3","98934 98926","1840019843"
"Monroe North","Monroe North","WA","Washington","53061","Snohomish","53061","Snohomish","47.8830","-121.9882","1704","282","polygon","FALSE","TRUE","America/Los_Angeles","3","98290 98272","1840042006"
"Klickitat","Klickitat","WA","Washington","53039","Klickitat","53039","Klickitat","45.8180","-121.1626","358","147","polygon","FALSE","FALSE","America/Los_Angeles","3","98628","1840017404"
"Newport","Newport","WA","Washington","53051","Pend Oreille","53051","Pend Oreille","48.1788","-117.0545","2635.0","624","polygon","FALSE","TRUE","America/Los_Angeles","3","99156","1840019765"
"Cashmere","Cashmere","WA","Washington","53007","Chelan","53007","Chelan","47.5175","-120.4671","4864.0","1061","polygon","FALSE","TRUE","America/Los_Angeles","3","98815","1840018368"
"Ocean Shores","Ocean Shores","WA","Washington","53027","Grays Harbor","53027","Grays Harbor","46.9685","-124.1521","5553.0","268","polygon","FALSE","TRUE","America/Los_Angeles","3","98569","1840019849"
"Wilkeson","Wilkeson","WA","Washington","53053","Pierce","53053","Pierce","47.1034","-122.0495","507","420","polygon","FALSE","TRUE","America/Los_Angeles","3","98396","1840022310"
"Arlington Heights","Arlington Heights","WA","Washington","53061","Snohomish","53061","Snohomish","48.2119","-122.0630","2826","129","polygon","FALSE","FALSE","America/Los_Angeles","3","98223","1840037743"
"Oakesdale","Oakesdale","WA","Washington","53075","Whitman","53075","Whitman","47.1305","-117.2465","442","164","polygon","FALSE","TRUE","America/Los_Angeles","3","99158","1840022314"
"Conconully","Conconully","WA","Washington","53047","Okanogan","53047","Okanogan","48.5571","-119.7513","208","300","polygon","FALSE","TRUE","America/Los_Angeles","3","98819","1840022269"
"Elma","Elma","WA","Washington","53027","Grays Harbor","53027","Grays Harbor","47.0055","-123.4112","3092","468","polygon","FALSE","TRUE","America/Los_Angeles","3","98541","1840019844"
"Southworth","Southworth","WA","Washington","53035","Kitsap","53035","Kitsap","47.5126","-122.5298","2280","260","polygon","FALSE","FALSE","America/Los_Angeles","3","98366 98384 98386","1840023800"
"Toppenish","Toppenish","WA","Washington","53077","Yakima","53077","Yakima","46.3807","-120.3125","14441.0","1627","polygon","FALSE","TRUE","America/Los_Angeles","3","98948","1840021151"
"Geneva","Geneva","WA","Washington","53073","Whatcom","53073","Whatcom","48.7461","-122.4064","2632","958","polygon","FALSE","FALSE","America/Los_Angeles","3","98229","1840017291"
"Moxee","Moxee","WA","Washington","53077","Yakima","53077","Yakima","46.5638","-120.3968","4032","670","polygon","FALSE","TRUE","America/Los_Angeles","3","98936 98901","1840037381"
"Kalama","Kalama","WA","Washington","53015","Cowlitz","53015","Cowlitz","46.0171","-122.8393","3794.0","297","polygon","FALSE","TRUE","America/Los_Angeles","3","98625","1840018502"
"Vashon","Vashon","WA","Washington","53033","King","53033","King","47.4122","-122.4726","9635","100","polygon","FALSE","FALSE","America/Los_Angeles","3","98070 98013","1840018414"
"Darrington","Darrington","WA","Washington","53061","Snohomish","53061","Snohomish","48.2546","-121.6029","1406","306","polygon","FALSE","TRUE","America/Los_Angeles","3","98241","1840021081"
"Lyle","Lyle","WA","Washington","53039","Klickitat","53039","Klickitat","45.6956","-121.2805","548","299","polygon","FALSE","FALSE","America/Los_Angeles","3","98635","1840017402"
"Spangle","Spangle","WA","Washington","53063","Spokane","53063","Spokane","47.4299","-117.3812","307","339","polygon","FALSE","TRUE","America/Los_Angeles","3","99031","1840022290"
"Waterville","Waterville","WA","Washington","53017","Douglas","53017","Douglas","47.6480","-120.0707","1198","533","polygon","FALSE","TRUE","America/Los_Angeles","3","98858","1840022287"
"Milton","Milton","WA","Washington","53053","Pierce","53053|53033","Pierce|King","47.2522","-122.3154","8230","1185","polygon","FALSE","TRUE","America/Los_Angeles","3","98003 98354","1840019857"
"Alderton","Alderton","WA","Washington","53053","Pierce","53053","Pierce","47.1718","-122.2192","3303","240","polygon","FALSE","FALSE","America/Los_Angeles","3","98390 98372 98374","1840037523"
"Edgewood","Edgewood","WA","Washington","53053","Pierce","53053","Pierce","47.2309","-122.2832","11213","515","polygon","FALSE","TRUE","America/Los_Angeles","3","98372 98371","1840019852"
"Pacific Beach","Pacific Beach","WA","Washington","53027","Grays Harbor","53027","Grays Harbor","47.2150","-124.1967","538","171","polygon","FALSE","FALSE","America/Los_Angeles","3","98571","1840023817"
"Brewster","Brewster","WA","Washington","53047","Okanogan","53047","Okanogan","48.1034","-119.7751","2343","785","polygon","FALSE","TRUE","America/Los_Angeles","3","98812","1840018359"
"Shoreline","Shoreline","WA","Washington","53033","King","53033","King","47.7564","-122.3426","56189","1864","polygon","FALSE","TRUE","America/Los_Angeles","3","98155 98177 98133 98160","1840021118"
"Airway Heights","Airway Heights","WA","Washington","53063","Spokane","53063","Spokane","47.6459","-117.5792","8166","524","polygon","FALSE","TRUE","America/Los_Angeles","3","99224 99001","1840018399"
"Inchelium","Inchelium","WA","Washington","53019","Ferry","53019","Ferry","48.3378","-118.2372","413","6","polygon","FALSE","FALSE","America/Los_Angeles","3","99138","1840017307"
"Union","Union","WA","Washington","53045","Mason","53045","Mason","47.3475","-123.0952","272","64","polygon","FALSE","FALSE","America/Los_Angeles","3","98592","1840025253"
"Kelso","Kelso","WA","Washington","53015","Cowlitz","53015","Cowlitz","46.1248","-122.8909","12130","580","polygon","FALSE","TRUE","America/Los_Angeles","3","98626 98632","1840018503"
"Junction City","Junction City","WA","Washington","53027","Grays Harbor","53027","Grays Harbor","46.9713","-123.7651","10","2","polygon","FALSE","FALSE","America/Los_Angeles","3","98520","1840017362"
"West Pasco","West Pasco","WA","Washington","53021","Franklin","53021","Franklin","46.2497","-119.1684","1233","280","polygon","FALSE","FALSE","America/Los_Angeles","3","99301","1840037891"
"Davenport","Davenport","WA","Washington","53043","Lincoln","53043","Lincoln","47.6551","-118.1519","1708","395","polygon","FALSE","TRUE","America/Los_Angeles","3","99122","1840018404"
"Lake Stickney","Lake Stickney","WA","Washington","53061","Snohomish","53061","Snohomish","47.8709","-122.2596","9667","2441","polygon","FALSE","FALSE","America/Los_Angeles","2","98087 98204","1840037894"
"Everett","Everett","WA","Washington","53061","Snohomish","53061","Snohomish","47.9524","-122.1670","110079","1278","polygon","FALSE","TRUE","America/Los_Angeles","2","98207 98204 98205 98203 98201 98208 98275 98206 98213","1840019785"
"Palouse","Palouse","WA","Washington","53075","Whitman","53075","Whitman","46.9103","-117.0751","1055","388","polygon","FALSE","TRUE","America/Los_Angeles","3","99161","1840019863"
"Clarkston","Clarkston","WA","Washington","53003","Asotin","53003","Asotin","46.4152","-117.0502","7396","1430","polygon","FALSE","TRUE","America/Los_Angeles","3","99403","1840018499"
"Mossyrock","Mossyrock","WA","Washington","53041","Lewis","53041","Lewis","46.5305","-122.4887","789","444","polygon","FALSE","TRUE","America/Los_Angeles","3","98564","1840019883"
"Suquamish","Suquamish","WA","Washington","53035","Kitsap","53035","Kitsap","47.7238","-122.5830","4108","232","polygon","FALSE","FALSE","America/Los_Angeles","3","98392 98370","1840018411"
"Stanwood","Stanwood","WA","Washington","53061","Snohomish","53061","Snohomish","48.2451","-122.3426","7161.0","937","polygon","FALSE","TRUE","America/Los_Angeles","3","98292","1840021079"
"Donald","Donald","WA","Washington","53077","Yakima","53077","Yakima","46.4737","-120.3923","0","0","polygon","FALSE","FALSE","America/Los_Angeles","3","98951","1840023853"
"South Prairie","South Prairie","WA","Washington","53053","Pierce","53053","Pierce","47.1373","-122.0940","443","441","polygon","FALSE","TRUE","America/Los_Angeles","3","98385","1840022308"
"Indianola","Indianola","WA","Washington","53035","Kitsap","53035","Kitsap","47.7566","-122.5142","3520","258","polygon","FALSE","FALSE","America/Los_Angeles","3","98342 98346 98370","1840017337"
"Cowiche","Cowiche","WA","Washington","53077","Yakima","53077","Yakima","46.6729","-120.7154","960","708","polygon","FALSE","FALSE","America/Los_Angeles","3","98923","1840023852"
"Rocky Point","Rocky Point","WA","Washington","53035","Kitsap","53035","Kitsap","47.5882","-122.6668","1449","790","polygon","FALSE","FALSE","America/Los_Angeles","3","98312","1840037507"
"Lakeland North","Lakeland North","WA","Washington","53033","King","53033","King","47.3374","-122.2814","12487","1452","polygon","FALSE","TRUE","America/Los_Angeles","3","98001","1840074254"
"Camas","Camas","WA","Washington","53011","Clark","53011","Clark","45.6003","-122.4306","23331","646","polygon","FALSE","TRUE","America/Los_Angeles","3","98607","1840018524"
"Cusick","Cusick","WA","Washington","53051","Pend Oreille","53051","Pend Oreille","48.3328","-117.2961","217","161","polygon","FALSE","TRUE","America/Los_Angeles","3","99119","1840021060"
"Longbranch","Longbranch","WA","Washington","53053","Pierce","53053","Pierce","47.2257","-122.7739","3236","62","polygon","FALSE","FALSE","America/Los_Angeles","3","98349 98351","1840023835"
"North Fort Lewis","North Fort Lewis","WA","Washington","53053","Pierce","53053","Pierce","47.1221","-122.5966","5009","328","polygon","TRUE","TRUE","America/Los_Angeles","3","98433","1840042007"
"Tukwila","Tukwila","WA","Washington","53033","King","53033","King","47.4748","-122.2727","20144","847","polygon","FALSE","TRUE","America/Los_Angeles","3","98108 98178 98168 98188 98138 98190","1840021120"
"Wenatchee","Wenatchee","WA","Washington","53007","Chelan","53007","Chelan","47.4338","-120.3286","71512.0","1314","polygon","FALSE","TRUE","America/Los_Angeles","3","98801","1840021074"
"Castle Rock","Castle Rock","WA","Washington","53015","Cowlitz","53015","Cowlitz","46.2717","-122.9057","2833.0","433","polygon","FALSE","TRUE","America/Los_Angeles","3","98611","1840018501"
"Index","Index","WA","Washington","53061","Snohomish","53061","Snohomish","47.8212","-121.5556","205","384","polygon","FALSE","TRUE","America/Los_Angeles","3","98256","1840021082"
"Bellevue","Bellevue","WA","Washington","53033","King","53033","King","47.5953","-122.1550","144444","1666","polygon","FALSE","TRUE","America/Los_Angeles","2","98004 98005 98006 98007 98008 98009 98015","1840018417"
"Anderson Island","Anderson Island","WA","Washington","53053","Pierce","53053","Pierce","47.1577","-122.7037","1292","64","polygon","FALSE","TRUE","America/Los_Angeles","3","98303","1840041888"
"Montesano","Montesano","WA","Washington","53027","Grays Harbor","53027","Grays Harbor","47.0102","-123.5858","8494.0","147","polygon","FALSE","TRUE","America/Los_Angeles","3","98563","1840019847"
"Fords Prairie","Fords Prairie","WA","Washington","53041","Lewis","53041","Lewis","46.7461","-123.0029","1812","188","polygon","FALSE","FALSE","America/Los_Angeles","3","98531","1840017377"
"Oso","Oso","WA","Washington","53061","Snohomish","53061","Snohomish","48.2836","-121.9237","212","29","polygon","FALSE","FALSE","America/Los_Angeles","3","98223","1840018374"
"Elk Plain","Elk Plain","WA","Washington","53053","Pierce","53053","Pierce","47.0448","-122.3671","14280","716","polygon","FALSE","FALSE","America/Los_Angeles","3","98387 98338","1840037546"
"Bangor Base","Bangor Base","WA","Washington","53035","Kitsap","53035","Kitsap","47.7227","-122.7146","6358","221","polygon","TRUE","TRUE","America/Los_Angeles","3","98315","1840036750"
"Port Gamble Tribal Community","Port Gamble Tribal Community","WA","Washington","53035","Kitsap","53035","Kitsap","47.8487","-122.5571","920","83","polygon","FALSE","TRUE","America/Los_Angeles","3","98346","1840042014"
"East Wenatchee","East Wenatchee","WA","Washington","53017","Douglas","53017","Douglas","47.4172","-120.2809","13983","1425","polygon","FALSE","TRUE","America/Los_Angeles","3","98802","1840019795"
"Minnehaha","Minnehaha","WA","Washington","53011","Clark","53011","Clark","45.6577","-122.6204","11767","2056","polygon","FALSE","FALSE","America/Los_Angeles","2","98661","1840018518"
"Satsop","Satsop","WA","Washington","53027","Grays Harbor","53027","Grays Harbor","47.0223","-123.4737","572","31","polygon","FALSE","FALSE","America/Los_Angeles","3","98583 98541","1840018445"
"Easton","Easton","WA","Washington","53037","Kittitas","53037","Kittitas","47.2405","-121.1733","395","47","polygon","FALSE","FALSE","America/Los_Angeles","3","98925","1840017354"
"Napavine","Napavine","WA","Washington","53041","Lewis","53041","Lewis","46.5844","-122.9007","1893","252","polygon","FALSE","TRUE","America/Los_Angeles","3","98565 98532","1840019884"
